"car_initial","car_number","axle_side","eqp_axle_nbr","Start_year","Start_month","start_date","end_year","End_month","End_date","Train_type","origin_station","destination_station","Train_Priority","kipread_day","kipread_month","kipread_year","kipread_hour","kipread_minute","kipread_secs","VNDR_EDR_NME","EDR_VNDR","AGE","EQP_SEQ_NBR","WHL_AVG_KIPS","WHL_PEAK_KIPS","WHL_DYN_KIPS","WHL_DYN_RATIO","EDR_EQP_SPD","EQP_GRS_TONS","TARE","car_type","car_characteristic","EQP_GRP","GRS_RAIL_WGT","KIPDAYS","RPR_WHY_CD","weight"
"EQVI",711467,"R",4,2010,1,11,2013,1,11,"X","LQE","KPP","H",1,7,2012,18,17,0,"PEST","SALIENT",902,43,36.76,43.68,6.92,1.19,30.28,32.5,31,"C",114,"HOPP",286000,3812.34,65,121.9
"WJQA",63235,"R",1,2010,4,20,2014,1,5,"E","VOS","UZP","A",3,7,2012,2,28,0,"ROGN","SALIENT",805,104,36.51,42.32,5.81,1.16,35.61,20.9,20,"J",311,"GOND",286000,0.0,11,123.4
"WLOA",75085,"R",3,2011,1,28,2014,1,28,"E","VOS","DWP","A",4,7,2012,21,23,0,"ROGN","SALIENT",523,114,31.35,40.42,9.07,1.29,33.38,21.2,20,"J",311,"GOND",286000,0.0,11,122.1
"WWCA",180373,"L",4,2011,5,14,2014,5,14,"M","VSR","HYH","A",1,7,2012,22,55,0,"PEST","SALIENT",414,25,34.68,39.61,4.93,1.14,34.39,30.9,30,"F",483,"FLAT",286000,307.8,61,79.3
"NSOA",4385,"L",3,2009,3,12,2014,9,25,"E","OUW","EWP","A",2,7,2012,12,59,14,"AMAZ","PRT",1208,9,30.94,33.41,2.47,1.08,54.19,26.8,25,"K",341,"HOPP",286000,0.0,11,112.5
"EQVI",718107,"L",4,2009,12,8,2012,12,8,"X","HOS","HGX","A",4,7,2012,18,32,0,"DEAN","SALIENT",939,31,35.75,42.07,6.32,1.18,55.53,31.9,31,"C",114,"HOPP",286000,0.0,25,112.2
"EQVI",701917,"L",2,2009,3,30,2013,5,3,"X","FQE","QBI","A",5,7,2012,16,51,0,"KIRK","SALIENT",1193,107,32.85,37.42,4.57,1.14,42.35,31.4,30,"C",114,"HOPP",286000,0.0,11,118.5
"EQVI",904053,"R",2,2010,6,1,2014,6,28,"E","FUG","HWP","A",6,7,2012,2,39,0,"ROGN","SALIENT",766,40,37.48,42.78,5.3,1.14,36.26,20.9,20,"J",311,"GOND",286000,2051.94,60,124.4
"DRN",99842,"R",3,2010,3,2,2013,3,2,"X","SJD","ZPL","A",16,11,2012,9,2,0,"COCH","SALIENT",990,9,48.55,69.31,20.76,1.43,52.92,31.4,30,"C",114,"HOPP",286000,3919.73,65,126.9
"QRNO",583781,"L",1,2009,12,14,2012,12,14,"M","YDZ","HYH","A",16,11,2012,10,16,43,"KYRO","PRT",1068,33,17.02,18.92,1.9,1.11,52.19,117.1,95,"S",175,"IFLT",665000,0.0,65,166.2
